Corpus,Question,Source_locator,Question_paraphrase,Requested_answer,Source_URL,Status
SECOND_CHALLENGE,SCQ1,Provenance query 1,Trace the full recorded history leading to Atlas X Graphic.,The upstream process and data history.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ2,Provenance query 2,Trace the history leading to Atlas X Graphic but stop at the softmean output boundary.,The bounded upstream history after softmean.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ3,Provenance query 3,Return the Stage 3 to 5 details leading to Atlas X Graphic.,The selected process data and parameter details.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ4,Provenance query 4,Find align_warp occurrences using parameter -m 12 that ran on a Monday.,The matching process occurrences.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ5,Provenance query 5,Find Atlas Graphics whose workflow used an Anatomy Header with global maximum 4095.,The qualifying output graphics.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ6,Provenance query 6,Find softmean outputs whose upstream warped inputs came from align_warp with -m 12.,The qualifying averaged images.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ7,Provenance query 7,Compare two runs where the second replaces convert with pgmtoppm then pnmtojpeg.,The differences between corresponding runs.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ8,Provenance query 8,Find align_warp outputs whose inputs carry center=UChicago.,The qualifying outputs.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
SECOND_CHALLENGE,SCQ9,Provenance query 9,Find graphical atlas sets with selected studyModality values and return their other annotations.,The matching atlas sets and annotations.,https://openprovenance.org/provenance-challenge/SecondProvenanceChallenge.html,retained
THIRD_CHALLENGE,TCQ1,Core Query 1,Identify CSV files that contributed to a selected detection.,The contributing source-file names.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TCQ2,Core Query 2,Determine whether the range-check operation was performed for a selected table.,A yes or no answer for the selected table.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TCQ3,Core Query 3,Identify operation occurrences strictly necessary for a selected non-computed Image-table value.,The necessary operation occurrences.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TCQ5,Core Query 5,Trace a selected plot zoneGroup to the CSV files containing its data.,The contributing CSV-file names.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ1,Optional Query 1,Count tables loaded successfully before a failed check halted the workflow.,The count of successfully loaded tables.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ2,Optional Query 2,Find procedure pairs that could be swapped without changing the result for the supplied data.,The interchangeable procedure pairs.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ3,Optional Query 3,Measure elapsed time between a successful check and a later failed file-existence check.,The elapsed duration.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ4,Optional Query 4,Explain why a selected database entry exists.,The provenance and domain explanation.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ5,Optional Query 5,Identify which repeated workflow execution halted.,The halted execution and associated input dataset.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ6,Optional Query 6,Identify the repeated step occurrence where the halt happened.,The exact halted step occurrence.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ7,Optional Query 7,Identify the data and data granularities being processed when the halt happened.,The incident data and granularities.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ8,Optional Query 8,Identify steps completed successfully before the halt.,The completed step occurrences.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ9,Optional Query 9,Identify planned steps not executed because of the halt.,The unrealised planned occurrences.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ10,Optional Query 10,Determine the user inputs for a selected workflow execution.,The associated user inputs.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ11,Optional Query 11,Determine which steps required user inputs for a selected execution.,The consuming step occurrences.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ12,Optional Query 12,Identify files processed successfully before a workflow halted.,The successfully processed file names.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ13,Optional Query 13,Produce data-dependency and step-dependency views for a workflow execution.,The requested dependency views.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ14,Optional Query 14,Find ImageMeta rows corresponding to a selected plot zoneGroup.,The matching database rows.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
THIRD_CHALLENGE,TOQ15,Optional Query 15,Find P2Detection rows present in one plotted query result but absent from the high-quality result.,The set-difference rows.,https://openprovenance.org/provenance-challenge/ProvenanceQuestionsPc3.html,retained
MLMD,MGQ1,Guide question 1,Identify the dataset used to train a selected model.,The training dataset.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MGQ2,Guide question 2,Identify hyperparameters used to train a selected model.,The recorded hyperparameter values.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MGQ3,Guide question 3,Identify the pipeline run that created a selected model.,The associated pipeline run.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MGQ4,Guide question 4,Identify the training-run occurrence that led to a selected model.,The producing training occurrence.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MGQ5,Guide question 5,Identify the TensorFlow version that created a selected model.,The software version.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MGQ6,Guide question 6,Identify when a selected failed model was pushed.,The push time.,https://www.tensorflow.org/tfx/guide/mlmd,retained
MLMD,MTQ1,Tutorial question 4,Locate the evaluation results associated with the erroneous model.,The evaluation-result artifact.,https://www.tensorflow.org/tfx/tutorials/mlmd/mlmd_tutorial,retained
