Requirement_ID,Canonical_Atomic_Requirement,Form_ID,Normalized_Answer_Form,Paper_Exact_Answer_Wording,Requirement_Occurrence_Count,Question_Appearance_Count,Question_IDs
ProducerConsumer-01,"It must be known which process produced each data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,14,14,SCQ1;SCQ2;SCQ3;SCQ6;SCQ7;TOQ4;TOQ13;MGQ1;MGQ2;MGQ3;MGQ4;MGQ5;MGQ6;MTQ1
ProducerConsumer-02,"It must be known which process consumed each data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?,which process occurrences consumed it,9,9,SCQ1;SCQ2;SCQ3;SCQ6;SCQ7;TOQ4;TOQ13;MGQ1;MTQ1
ProducerConsumer-03,"It must be known which process consumed each header, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,SCQ5
ProducerConsumer-04,"It must be known which process produced each later data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,1,1,SCQ5
ProducerConsumer-05,"It must be known which process consumed each input, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?,which process occurrences consumed it,2,2,SCQ8;TOQ11
ProducerConsumer-06,It must be known which data items each process produced.,PC4,Which exact States did a selected Execution produce?,which exact data items it produced,1,1,SCQ8
ProducerConsumer-07,"It must be known which processes produced each relevant data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,1,1,TCQ1
ProducerConsumer-08,It must be known which processes used each relevant data item.,PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TCQ1
ProducerConsumer-09,It must be known which data the range-check occurrence used.,PC3,Which exact States did a selected Execution consume?,which exact data items a process occurrence consumed,1,1,TCQ2
ProducerConsumer-10,"It must be known which process consumed each relevant data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TCQ3
ProducerConsumer-11,"It must be known which process produced each relevant data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,1,1,TCQ3
ProducerConsumer-12,It must be known which processes produced or used each relevant data item.,PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,1,1,TCQ5
ProducerConsumer-12,It must be known which processes produced or used each relevant data item.,PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TCQ5
ProducerConsumer-13,It must be known which load occurrence processed each table.,PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TOQ1
ProducerConsumer-14,"It must be known which process occurrence produced each relevant data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?,which process occurrence produced a selected data item,1,1,TOQ2
ProducerConsumer-15,"It must be known which process occurrence consumed each relevant data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TOQ2
ProducerConsumer-16,It must be known which data was incident to the halted process.,PC3,Which exact States did a selected Execution consume?,which exact data items a process occurrence consumed,1,1,TOQ7
ProducerConsumer-17,It must be known which processes handled each file.,PC2,Which Executions consumed a selected State?,which process occurrences consumed it,1,1,TOQ12
