Requirement_ID,Requirement_Type,Canonical_Atomic_Requirement,Occurrence_Count,Question_Appearance_Count,Question_IDs
Identity-01,Identity,Exact recorded data items must be distinguishable.,16,16,SCQ1;SCQ2;SCQ3;SCQ5;SCQ6;SCQ8;SCQ9;TCQ1;TCQ3;MGQ1;MGQ2;MGQ3;MGQ4;MGQ5;MGQ6;MTQ1
Identity-02,Identity,Exact recorded process occurrences must be distinguishable.,17,17,SCQ1;SCQ2;SCQ3;SCQ4;SCQ5;SCQ6;SCQ8;TCQ1;TCQ2;TCQ3;MGQ1;MGQ2;MGQ3;MGQ4;MGQ5;MGQ6;MTQ1
Identity-03,Identity,Exact recorded data items must be distinguishable within each run.,1,1,SCQ7
Identity-04,Identity,Exact recorded process occurrences must be distinguishable within each run.,1,1,SCQ7
Identity-05,Identity,Corresponding parts of the two runs must be identifiable.,1,1,SCQ7
Identity-06,Identity,Exact recorded rows must be distinguishable.,1,1,TCQ1
Identity-07,Identity,Exact recorded files must be distinguishable.,1,1,TCQ1
Identity-08,Identity,Exact recorded table data must be distinguishable.,1,1,TCQ2
Identity-09,Identity,Exact recorded values must be distinguishable.,1,1,TCQ3
Identity-10,Identity,Exact plot data must be distinguishable.,1,1,TCQ5
Identity-11,Identity,Exact rows must be distinguishable.,1,1,TCQ5
Identity-12,Identity,Exact tables must be distinguishable.,1,1,TCQ5
Identity-13,Identity,Exact CSV files must be distinguishable.,1,1,TCQ5
Identity-14,Identity,Exact process occurrences must be distinguishable.,8,8,TCQ5;TOQ1;TOQ2;TOQ4;TOQ7;TOQ11;TOQ12;TOQ13
Identity-15,Identity,Exact table data items must be distinguishable.,1,1,TOQ1
Identity-16,Identity,Exact relevant data items must be distinguishable.,1,1,TOQ2
Identity-17,Identity,Exact data items must be distinguishable.,3,3,TOQ4;TOQ7;TOQ13
Identity-18,Identity,Exact workflow executions must be distinguishable.,1,1,TOQ5
Identity-19,Identity,Repeated process occurrences must be distinguishable.,2,2,TOQ6;TOQ8
Identity-20,Identity,Planned process occurrences must be distinguishable.,1,1,TOQ9
Identity-21,Identity,Exact input data items must be distinguishable.,1,1,TOQ10
Identity-22,Identity,Exact input data must be distinguishable.,1,1,TOQ11
Identity-23,Identity,Exact files must be distinguishable.,1,1,TOQ12
ProducerConsumer-01,Producer-Consumer relationship,"It must be known which process produced each data item, where a producer is represented in the selected history.",14,14,SCQ1;SCQ2;SCQ3;SCQ6;SCQ7;TOQ4;TOQ13;MGQ1;MGQ2;MGQ3;MGQ4;MGQ5;MGQ6;MTQ1
ProducerConsumer-02,Producer-Consumer relationship,"It must be known which process consumed each data item, where a consumer is represented in the selected history.",9,9,SCQ1;SCQ2;SCQ3;SCQ6;SCQ7;TOQ4;TOQ13;MGQ1;MTQ1
ProducerConsumer-03,Producer-Consumer relationship,"It must be known which process consumed each header, where a consumer is represented in the selected history.",1,1,SCQ5
ProducerConsumer-04,Producer-Consumer relationship,"It must be known which process produced each later data item, where a producer is represented in the selected history.",1,1,SCQ5
ProducerConsumer-05,Producer-Consumer relationship,"It must be known which process consumed each input, where a consumer is represented in the selected history.",2,2,SCQ8;TOQ11
ProducerConsumer-06,Producer-Consumer relationship,It must be known which data items each process produced.,1,1,SCQ8
ProducerConsumer-07,Producer-Consumer relationship,"It must be known which processes produced each relevant data item, where a producer is represented in the selected history.",1,1,TCQ1
ProducerConsumer-08,Producer-Consumer relationship,It must be known which processes used each relevant data item.,1,1,TCQ1
ProducerConsumer-09,Producer-Consumer relationship,It must be known which data the range-check occurrence used.,1,1,TCQ2
ProducerConsumer-10,Producer-Consumer relationship,"It must be known which process consumed each relevant data item, where a consumer is represented in the selected history.",1,1,TCQ3
ProducerConsumer-11,Producer-Consumer relationship,"It must be known which process produced each relevant data item, where a producer is represented in the selected history.",1,1,TCQ3
ProducerConsumer-12,Producer-Consumer relationship,It must be known which processes produced or used each relevant data item.,1,1,TCQ5
ProducerConsumer-13,Producer-Consumer relationship,It must be known which load occurrence processed each table.,1,1,TOQ1
ProducerConsumer-14,Producer-Consumer relationship,"It must be known which process occurrence produced each relevant data item, where a producer is represented in the selected history.",1,1,TOQ2
