Corpus,Question,Requirement_Type,Requirement_ID,Question_Specific_Atomic_Requirement,Producer_Consumer_Form_IDs,Producer_Consumer_Normalized_Forms
SECOND_CHALLENGE,SCQ1,Identity,Identity-01,Exact recorded data items must be distinguishable.,,
SECOND_CHALLENGE,SCQ1,Identity,Identity-02,Exact recorded process occurrences must be distinguishable.,,
SECOND_CHALLENGE,SCQ1,Producer-Consumer relationship,ProducerConsumer-01,"It must be known which process produced each data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?
SECOND_CHALLENGE,SCQ1,Producer-Consumer relationship,ProducerConsumer-02,"It must be known which process consumed each data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?
SECOND_CHALLENGE,SCQ2,Identity,Identity-01,Exact recorded data items must be distinguishable.,,
SECOND_CHALLENGE,SCQ2,Identity,Identity-02,Exact recorded process occurrences must be distinguishable.,,
SECOND_CHALLENGE,SCQ2,Producer-Consumer relationship,ProducerConsumer-01,"It must be known which process produced each data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?
SECOND_CHALLENGE,SCQ2,Producer-Consumer relationship,ProducerConsumer-02,"It must be known which process consumed each data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?
SECOND_CHALLENGE,SCQ2,Annotations and Filtering,AnnotationsFiltering-01,The process name must be known.,,
SECOND_CHALLENGE,SCQ3,Identity,Identity-01,Exact recorded data items must be distinguishable.,,
SECOND_CHALLENGE,SCQ3,Identity,Identity-02,Exact recorded process occurrences must be distinguishable.,,
SECOND_CHALLENGE,SCQ3,Producer-Consumer relationship,ProducerConsumer-01,"It must be known which process produced each data item, where a producer is represented in the selected history.",PC1,Which Execution produced a selected State?
SECOND_CHALLENGE,SCQ3,Producer-Consumer relationship,ProducerConsumer-02,"It must be known which process consumed each data item, where a consumer is represented in the selected history.",PC2,Which Executions consumed a selected State?
SECOND_CHALLENGE,SCQ3,Annotations and Filtering,AnnotationsFiltering-02,The process name of each identified occurrence must be known.,,
SECOND_CHALLENGE,SCQ3,Annotations and Filtering,AnnotationsFiltering-03,The stage of each identified process must be known.,,
SECOND_CHALLENGE,SCQ3,Annotations and Filtering,AnnotationsFiltering-04,The parameter details of each identified process must be known.,,
SECOND_CHALLENGE,SCQ4,Identity,Identity-02,Exact recorded process occurrences must be distinguishable.,,
SECOND_CHALLENGE,SCQ4,Annotations and Filtering,AnnotationsFiltering-05,The process name of each occurrence must be known.,,
SECOND_CHALLENGE,SCQ4,Annotations and Filtering,AnnotationsFiltering-06,The parameters of each occurrence must be known.,,
SECOND_CHALLENGE,SCQ4,Ordering/Time,OrderingTime-01,The execution time of each occurrence must be known.,,
SECOND_CHALLENGE,SCQ5,Identity,Identity-01,Exact recorded data items must be distinguishable.,,
SECOND_CHALLENGE,SCQ5,Identity,Identity-02,Exact recorded process occurrences must be distinguishable.,,
